"Match_ID","League","Country","Matchday","Date","Kickoff_Time_CET","Home_Team","Away_Team","Stadium","City","Broadcaster_UK","Broadcaster_ES","Broadcaster_IT","Broadcaster_US"
"PL-2026-0501","Premier League","England","Matchday 5","2026-09-19","13:30","Newcastle United","Arsenal","St. James' Park","Newcastle","TNT Sports 1","DAZN 1","Sky Sport Calcio","USA Network / Peacock"
"LL-2026-0601","La Liga","Spain","Jornada 6","2026-09-19","14:00","Real Valladolid","Real Sociedad","Estadio José Zorrilla","Valladolid","LaLigaTV / Premier Sports","Movistar LaLiga TV","DAZN","ESPN+"
"SA-2026-0401","Serie A","Italy","Giornata 4","2026-09-19","15:00","Bologna","Genoa","Stadio Renato Dall'Ara","Bologna","TNT Sports 2","DAZN / Movistar+","DAZN Standard","Paramount+"
"PL-2026-0502","Premier League","England","Matchday 5","2026-09-19","16:00","Aston Villa","Wolverhampton Wanderers","Villa Park","Birmingham","Premier League Productions","DAZN 2","Sky Sport Football","Peacock"
"PL-2026-0503","Premier League","England","Matchday 5","2026-09-19","16:00","Fulham","Brentford","Craven Cottage","London","Premier League Productions","DAZN 3","NOW","Peacock"
"PL-2026-0504","Premier League","England","Matchday 5","2026-09-19","16:00","Liverpool","Bournemouth","Anfield","Liverpool","Premier League Productions","DAZN 1","Sky Sport 251","USA Network"
"PL-2026-0505","Premier League","England","Matchday 5","2026-09-19","16:00","Southampton","Everton","St. Mary's Stadium","Southampton","Premier League Productions","DAZN 4","Sky Sport 252","Peacock"
"LL-2026-0602","La Liga","Spain","Jornada 6","2026-09-19","16:15","Osasuna","Las Palmas","El Sadar","Pamplona","LaLigaTV","DAZN LaLiga","DAZN","ESPN+"
"SA-2026-0402","Serie A","Italy","Giornata 4","2026-09-19","18:00","Juventus","Napoli","Allianz Stadium","Turin","TNT Sports 1","DAZN 2","DAZN / Sky Sport Uno","Paramount+ / CBS Sports Golazo"
"LL-2026-0603","La Liga","Spain","Jornada 6","2026-09-19","18:30","Valencia CF","Girona FC","Mestalla","Valencia","LaLigaTV / Premier Sports 2","Movistar LaLiga TV","DAZN","ESPN+ / ESPN Deportes"
"PL-2026-0506","Premier League","England","Matchday 5","2026-09-19","18:30","Tottenham Hotspur","Chelsea","Tottenham Hotspur Stadium","London","Sky Sports Main Event","DAZN 1","Sky Sport Uno","NBC / Peacock"
"SA-2026-0403","Serie A","Italy","Giornata 4","2026-09-19","20:45","Lecce","Parma","Stadio Via del Mare","Lecce","TNT Sports 3","DAZN 3","DAZN / Sky Sport Calcio","Paramount+"
"LL-2026-0604","La Liga","Spain","Jornada 6","2026-09-19","21:00","Real Madrid","Barcelona","Santiago Bernabéu","Madrid","ITV4 / Premier Sports 1","Movistar LaLiga TV","DAZN","ESPN+ / ABC"
"PL-2026-0507","Premier League","England","Matchday 5","2026-09-19","21:00","Manchester City","West Ham United","Etihad Stadium","Manchester","Sky Sports Premier League","DAZN 2","Sky Sport Calcio","Peacock"
