"Channel_ID","Channel_Name","Date","Start_Time","End_Time","Duration_Minutes","Show_Title","Genre","Episode_Synopsis","Rating"
"CH01","Global News 24","2026-09-20","00:00","01:00",60,"World News Tonight Live","News","Late edition global headlines and financial recap","TV-14"
"CH01","Global News 24","2026-09-20","01:00","02:00",60,"Global Business In-Depth","Business","Markets wrap and Asian trading preview","TV-G"
"CH01","Global News 24","2026-09-20","02:00","04:00",120,"Nightly News Continuous","News","Overnight rolling breaking coverage and weather","TV-G"
"CH01","Global News 24","2026-09-20","04:00","05:00",60,"Global Morning Wire","News","Early morning political briefing and European open","TV-G"
"CH01","Global News 24","2026-09-20","05:00","06:00",60,"First Light Agenda","Current Affairs","Interviews with policy makers and economists","TV-PG"
"CH01","Global News 24","2026-09-20","06:00","09:00",180,"Morning World Report","Morning News","Flagship breakfast show with live correspondents","TV-PG"
"CH01","Global News 24","2026-09-20","09:00","11:00",120,"The Global Forum","Talk/News","Roundtable panel discussion on international affairs","TV-PG"
"CH01","Global News 24","2026-09-20","11:00","12:00",60,"Midday Pulse","News","Breaking midday news and market updates","TV-G"
"CH01","Global News 24","2026-09-20","12:00","13:00",60,"Press Conference Live","Public Affairs","Live government briefing and Q&A","TV-G"
"CH01","Global News 24","2026-09-20","13:00","14:30",90,"World Focus: Asia-Pacific","Documentary","Special focus on emerging tech in the APAC region","TV-PG"
"CH01","Global News 24","2026-09-20","14:30","16:00",90,"Afternoon Ledger","Financial","Wall Street opening bell analysis and company earnings","TV-G"
"CH01","Global News 24","2026-09-20","16:00","18:00",120,"Global Evening Bulletin","News","Comprehensive evening updates and field reports","TV-PG"
"CH01","Global News 24","2026-09-20","18:00","19:00",60,"The Situation Analysis","Current Affairs","In-depth investigative report on global climate policy","TV-PG"
"CH01","Global News 24","2026-09-20","19:00","20:00",60,"Prime Debate Hour","Debate","Two opposing viewpoints on geopolitical tensions","TV-14"
"CH01","Global News 24","2026-09-20","20:00","21:00",60,"The 8 PM Dispatch","Flagship News","Lead stories, investigations, and exclusive interviews","TV-PG"
"CH01","Global News 24","2026-09-20","21:00","22:00",60,"Insight: The Correspondent","Investigative","Deep-dive expose on cybercrime syndicates","TV-14"
"CH01","Global News 24","2026-09-20","22:00","23:00",60,"Global News at Ten","Late News","Summary of the day's major international stories","TV-PG"
"CH01","Global News 24","2026-09-20","23:00","00:00",60,"Nightly Opinion & Recap","Opinion/Analysis","Editorial commentary and preview of tomorrow's papers","TV-PG"
"CH02","CineMax Classics","2026-09-20","00:00","02:15",135,"Midnight Noir: The Big Sleep","Movie - Crime","Classic 1946 detective mystery starring Bogart & Bacall","TV-14"
"CH02","CineMax Classics","2026-09-20","02:15","04:30",135,"Dial M for Murder","Movie - Thriller","Hitchcock's suspense masterpiece in restored HD","TV-PG"
"CH02","CineMax Classics","2026-09-20","04:30","06:00",90,"Cinema Pioneers Documentary","Documentary","The golden age of Hollywood studio lighting","TV-G"
"CH02","CineMax Classics","2026-09-20","06:00","08:00",120,"Breakfast at Tiffany's","Movie - Romance/Comedy","Audrey Hepburn stars in the timeless adaptation","TV-PG"
"CH02","CineMax Classics","2026-09-20","08:00","10:30",150,"Singin' in the Rain","Movie - Musical","Gene Kelly and Debbie Reynolds in Hollywood's greatest musical","TV-G"
"CH02","CineMax Classics","2026-09-20","10:30","13:00",150,"Roman Holiday","Movie - Romance","A wandering princess explores Rome with an American reporter","TV-G"
"CH02","CineMax Classics","2026-09-20","13:00","15:30",150,"North by Northwest","Movie - Thriller","An ad executive is thrust into cross-country espionage","TV-PG"
"CH02","CineMax Classics","2026-09-20","15:30","18:00",150,"Casablanca","Movie - Drama","Rick Blaine must choose between love and fighting fascism","TV-PG"
"CH02","CineMax Classics","2026-09-20","18:00","20:30",150,"12 Angry Men","Movie - Drama","A single juror attempts to prevent a miscarriage of justice","TV-PG"
"CH02","CineMax Classics","2026-09-20","20:30","23:15",165,"Lawrence of Arabia","Movie - Epic/Historical","David Lean's monumental desert masterpiece","TV-14"
"CH02","CineMax Classics","2026-09-20","23:15","00:00",45,"Behind the Silver Screen","Documentary Short","Interviews with legendary classic film editors","TV-PG"
"CH03","Apex Sports Network","2026-09-20","00:00","02:00",120,"Apex SportsCenter Late","Sports News","Highlights, top 10 plays, and post-game interviews","TV-PG"
"CH03","Apex Sports Network","2026-09-20","02:00","04:30",150,"European Basketball League (Replay)","Basketball","Full match replay: Madrid vs. Athens semifinals","TV-G"
"CH03","Apex Sports Network","2026-09-20","04:30","06:00",90,"Motorsport Review: Rally Legends","Motorsports","Top stages from the World Rally Championship","TV-G"
"CH03","Apex Sports Network","2026-09-20","06:00","08:00",120,"Morning Jumpstart Live","Sports Talk","Daily morning analysis, injury reports, and fantasy picks","TV-PG"
"CH03","Apex Sports Network","2026-09-20","08:00","10:30",150,"ATP Tennis Tour 500 Quarterfinal","Tennis","Live coverage: Men's Singles Day 4 Center Court","TV-G"
"CH03","Apex Sports Network","2026-09-20","10:30","12:00",90,"Apex Cycling Hour","Cycling","Tour stage recap and breakaway tactics breakdown","TV-G"
"CH03","Apex Sports Network","2026-09-20","12:00","15:00",180,"Premier Football Derby (Live)","Football/Soccer","Live broadcast: Manchester vs. London rivalry showdown","TV-PG"
"CH03","Apex Sports Network","2026-09-20","15:00","15:30",30,"Premier Post-Match Show","Analysis","Tactical analysis, coach pressers, and player ratings","TV-PG"
"CH03","Apex Sports Network","2026-09-20","15:30","18:30",180,"PGA Golf Invitational Live","Golf","Third round coverage from coastal championship course","TV-G"
"CH03","Apex Sports Network","2026-09-20","18:30","20:30",120,"Rugby Championship: Super Cup","Rugby","Intense southern clash under the stadium floodlights","TV-14"
"CH03","Apex Sports Network","2026-09-20","20:30","22:30",120,"NBA Primetime Matchup (Live)","Basketball","Conference rivals battle for top playoff seeding","TV-PG"
"CH03","Apex Sports Network","2026-09-20","22:30","23:30",60,"The Final Score Debate","Sports Talk","Fiery debate on officiating, trade rumors, and awards","TV-PG"
"CH03","Apex Sports Network","2026-09-20","23:30","00:00",30,"Speed & Glory: F1 paddock pass","Motorsports","Behind the scenes with pit crews before race weekend","TV-PG"
"CH04","Discovery Earth","2026-09-20","00:00","01:30",90,"Secrets of the Mariana Trench","Documentary","Deep-sea submarines reveal bioluminescent organisms","TV-PG"
"CH04","Discovery Earth","2026-09-20","01:30","03:00",90,"Volcano Watchers","Earth Science","Geologists track active magma chambers in Iceland","TV-PG"
"CH04","Discovery Earth","2026-09-20","03:00","04:30",90,"Cosmos: The Edge of Reality","Astronomy","James Webb Space Telescope findings on early galaxies","TV-G"
"CH04","Discovery Earth","2026-09-20","04:30","06:00",90,"Serengeti Migration Diaries","Wildlife","Wildebeest river crossings and apex predator dynamics","TV-PG"
"CH04","Discovery Earth","2026-09-20","06:00","07:30",90,"Megastructures: Subsea Tunnels","Engineering","Engineering feats constructing cross-strait transit","TV-G"
"CH04","Discovery Earth","2026-09-20","07:30","09:00",90,"Planet Hunters: Exoplanets","Science","Searching for liquid water in TRAPPIST-1 system","TV-G"
"CH04","Discovery Earth","2026-09-20","09:00","10:30",90,"Wild Amazon: Canopy Kingdom","Nature","Biodiversity in the upper foliage of the rainforest","TV-G"
"CH04","Discovery Earth","2026-09-20","10:30","12:00",90,"Ancient Engineering: Pyramids","Archaeology","LiDAR scans uncover lost ramps and quarry networks","TV-PG"
"CH04","Discovery Earth","2026-09-20","12:00","13:30",90,"Extreme Weather Chronicles","Science","Storm chasers inside Category 5 hurricane supercells","TV-PG"
"CH04","Discovery Earth","2026-09-20","13:30","15:00",90,"Predators of the Coral Reef","Marine Life","Night hunting strategies of reef sharks and moray eels","TV-PG"
"CH04","Discovery Earth","2026-09-20","15:00","16:30",90,"The Arctic Frontier","Environment","Polar bear conservation in warming polar pack ice","TV-PG"
"CH04","Discovery Earth","2026-09-20","16:30","18:00",90,"Space Explorers: Mars Base Alpha","Space","Preparing human habitats for long-duration Martian stays","TV-G"
"CH04","Discovery Earth","2026-09-20","18:00","19:30",90,"Prehistoric Beasts Reconstructed","Paleontology","3D biomechanics of Spinosaurus and giant sauropods","TV-PG"
"CH04","Discovery Earth","2026-09-20","19:30","21:00",90,"Deep Jungle Expeditions","Exploration","Lost civilization ruins hidden beneath dense jungle","TV-PG"
"CH04","Discovery Earth","2026-09-20","21:00","22:30",90,"Planet Earth: Frozen Realms","Nature - Primetime","Epic cinematic look at life on Antarctica's shelves","TV-PG"
"CH04","Discovery Earth","2026-09-20","22:30","00:00",90,"Unsolved Mysteries of the Deep","Oceanography","Bermuda acoustic anomalies and ghost ship wrecks","TV-14"
"CH05","ToonZone Kids","2026-09-20","00:00","02:00",120,"Midnight Anime Block: Cyber Samurai","Anime","Episodes 13-16: The tournament in Neo-Tokyo","TV-14"
"CH05","ToonZone Kids","2026-09-20","02:00","04:00",120,"Retro Toon Marathon: Space Rangers","Classic Cartoon","Vintage Saturday morning animated adventures","TV-Y7"
"CH05","ToonZone Kids","2026-09-20","04:00","05:00",60,"Little Forest Friends","Preschool","Learning numbers and forest safety with Bramble the bear","TV-Y"
"CH05","ToonZone Kids","2026-09-20","05:00","06:00",60,"Alphabet Valley Adventures","Educational","Phonics, songs, and colorful alphabet discovery","TV-Y"
"CH05","ToonZone Kids","2026-09-20","06:00","07:00",60,"Barnyard Buddies","Preschool","Morning songs, routine building, and animal care","TV-Y"
"CH05","ToonZone Kids","2026-09-20","07:00","08:00",60,"RoboPups Rescue Squad","Animation","The rescue puppies save the city lighthouse","TV-Y7"
"CH05","ToonZone Kids","2026-09-20","08:00","09:00",60,"Dragon Riders of Eldoria","Animation","Training wild drakes to soar across cloud canyons","TV-Y7"
"CH05","ToonZone Kids","2026-09-20","09:00","10:30",90,"Super Science Squad","STEM Kids","Interactive science experiments and kitchen physics","TV-Y7"
"CH05","ToonZone Kids","2026-09-20","10:30","12:00",90,"The Secret Treehouse Detectives","Animation","Solving the case of the missing school mascot trophy","TV-Y7"
"CH05","ToonZone Kids","2026-09-20","12:00","13:30",90,"Monster Kitchen Chefs","Kids Comedy","Baking magical pastries with quirky friendly monsters","TV-Y7"
